customer_id,age,income,employment_years,credit_score,num_dependents,loan_amount,loan_term_months,loan_purpose,past_defaults,default
1,23,5818.0,6.0,760.0,3,30992.0,36,Home,0,1
2,49,3575.0,23.0,749.0,0,8455.0,24,Business,0,0
3,55,5182.0,10.0,631.0,4,26047.0,24,Business,0,1
4,59,5160.0,5.0,704.0,2,12016.0,36,Home,0,0
5,38,3253.0,17.0,634.0,2,18714.0,36,Home,0,0
6,40,7407.0,3.0,691.0,0,18693.0,12,Education,2,0
7,63,3502.0,23.0,764.0,1,24489.0,36,Other,0,0
8,43,3492.0,10.0,747.0,3,20689.0,24,Home,0,0
9,54,4654.0,6.0,673.0,2,22672.0,12,Education,0,0
10,53,3930.0,22.0,713.0,2,28561.0,36,Home,1,0
11,30,5280.0,3.0,564.0,2,17685.0,12,Car,0,0
12,53,3420.0,14.0,736.0,4,13323.0,36,Business,0,0
13,53,5334.0,13.0,504.0,0,14985.0,60,Education,0,0
14,46,5488.0,11.0,665.0,4,16092.0,24,Business,0,0
15,40,6673.0,24.0,712.0,3,20846.0,24,Education,0,0
16,35,6473.0,16.0,782.0,0,15029.0,60,Car,0,0
17,57,5597.0,19.0,725.0,2,23493.0,12,Home,2,0
18,53,6610.0,11.0,757.0,2,32702.0,12,Car,0,0
19,37,5511.0,16.0,689.0,1,17136.0,36,Other,0,0
20,25,8458.0,0.0,771.0,0,13493.0,12,Education,0,0
21,24,4673.0,6.0,789.0,2,14621.0,24,Home,0,0
22,23,4980.0,22.0,616.0,0,23898.0,36,Business,0,0
23,41,6001.0,12.0,683.0,1,30573.0,36,Other,1,0
24,60,4626.0,17.0,676.0,4,16883.0,36,Business,0,0
25,23,8313.0,22.0,520.0,4,12957.0,36,Car,0,0
26,41,7126.0,7.0,622.0,3,23891.0,24,Home,0,0
27,28,7248.0,14.0,786.0,1,7944.0,60,Business,0,0
28,62,6951.0,8.0,607.0,4,15031.0,48,Home,0,0
29,56,7295.0,0.0,697.0,4,20071.0,12,Business,0,0
30,49,4729.0,22.0,632.0,0,25443.0,48,Car,0,0
